Object ID,Name,Geolocatiion_latitude,Geolocatiion_longitude,Ownership,Address #,Street,City,State,Zipcode,Year Built,Category,Type,Status,Gender?,Ethnicity?,Controversy? Yes/No?,Vandalized? Yes/No? Provide Info + Links,Comments,Source
1,109-113 Broad Street,-81.949667,33.470361,Unknown,109-113,Broad Street,Boston,MA,30901,Unknown,Building,,,,,,,,
2,102 Broad Street,-81.971405,33.477041,"Roger Dashow Trust,",102,102 Broad Street,Boston,MA,30901,11/1/83,Building,,Original Location,,,,,"Number ·102 Broad Stree.t is one of the survivors of the Broad Street Association buildings. The Broad Street Association buildings played an integral role in the history of the Port of Boston through the first half of the nineteenth century. Number 102 Broad Street stands as re:tJresentative of 'the fevr (19) remain:in1;t] commercial Federal period structures within the Central Business District. Boston's earliest commercial activity was centered along the shores of the Great Cove, the innermost section of Boston Harbor. The harbor soon became cluttered by small wharves which were built by individuals involved with maritime enterprises.",http://bit.ly/1g1yeIP
34,Old Indian Meeting House,70.479882,41.624817,Unknown,410,Meetinghouse Rd,Mashpee,MA,2649,1684,,,Original Location,,,,,,https://africanamericantrailproject.tufts.edu/18th-century-sites
243,Rise / Gateway to Boston,-71.093874,42.267367,Unknown,,Blue Hill Avenue & Cummins Hwy,Mattapan,MA,2126,2005,Statue,,Original Location,,,,,"""For most of the early twentieth century, Mattapan was a predominantly Jewish neighborhood at the southern edge of Dorchester. During the late 1960s and 1970s, due in part to Boston Banks Urban Renewal Group (B-BURG), redlining and blockbusting led to white flight from the area. Mattapan’s black community grew during the 1970s, and since the 1980s, Mattapan has been home to an increasingly ethnically diverse black community, including especially immigrants from Haiti and the Caribbean. This 2005 sculpture, designed by former Mattapan residents and cousins Fern Cunningham and Karen Eutemey, serves as a gateway to Mattapan. The pair of nineteen foot statues celebrate the diverse history of Mattapan, including its Native American (Mattahunt), Jewish, German, Irish, African-American and Caribbean origins.""",https://africanamericantrailproject.tufts.edu/21st-century-sites
242,Haitian-American Public Health Initiatives,-71.094014,42.269188,Unknown,1601-1603,Blue Hill Avenue,Mattapan,MA,2126,1989,Building,,Original Location,,,,,"""In 1989, a group of Haitian-American health care professionals created the Haitian American Public Health Initiative to address the needs of Boston’s Haitian community. Although foreign born people of African descent have always been a significant part of greater Boston’s black community - since 1900, at least 10% of all black people in the city have been born outside of the United States - Haitian migration to the region during the 1970s and 1980s provided Boston with the third largest Haitian-American population in the country. Designed to meet the language, cultural, and public health needs of Haitian Americans across greater Boston, HAPHI has been a pioneer in culturally appropriate healthcare, education, and advocacy that meets the needs of the community.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
23,Lower Mills World War II Monument,-71.067637,42.274101,Dorchester Historical Society,,,Dorchester,MA,,1945,Object,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
26,Kneeling Soldier Civil War Memorial ***,-71.069719,42.274539,Dorchester Historical Society,1076,Washington Street,Dorchester,MA,2124,2004,Plaque/Historic Marker,Community,Relocated,,,,,,https://www.dotnews.com/2004/civil-war-memorial-be-re-dedicated-sunday
43,Theodore Parker Unitarian Church,-71.155314,42.286454,Unknown,1851,Centre Street,West Roxbury,MA,,4/9/85,Building,,,,,,,,
18,"Soldiers Monument, Meeting House Hill",-71.062783,42.308252,Dorchester Historical Society,1,Church St,Dorchester,MA,2122,1867,Object,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
228,Freedom House,-71.083705,42.310779,Unknown,5,Crawford St,Dorchester,MA,2121,1949,Building,,Relocated,,,,,"""In 1949, social workers Otto P. and Muriel S. Snowden founded Freedom House at 151 Humboldt Street in Roxbury. The goal was to create an interracial, interfaith center to fight for neighborhood improvement, better schools, and racial cooperation. In 1952, Freedom House moved to 14 Crawford Street in Grove Hall, although a devastating fire forced it to its “new” facility at 5 Crawford Street in 1961. Since then, Freedom House has been the site of countless political and civil rights struggles, including the fight for “racially balanced” public schools in the 1960s and 1970s.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
234,Mosque 11 Masjid Al-Quran,-71.080331,42.311512,Unknown,35,Intervale St,Dorchester,MA,2121,,Building,,Original Location,,,,,"""During the 1940s, a local group of black musicians organized one of Boston's first Muslim communities of African descent. In 1957, early followers of the Nation of Islam’s Elijah Muhammad established Mosque No. 11 in an old Synagogue on Intervale Street in Dorchester. Malcolm X, who lived in Roxbury with his sister after his release from prison, ministered at Mosque No. 11 and considered it his home. Louis Farrakhan also ministered at the mosque and lived in the adjoining property, 37 Intervale Street. After X’s assassination in 1965, the Mosque, like others across the country, entered a period of transformation. This was in large part due to the fact that in 1976, when Nation of Islam founder, Elijah Muhammad, passed away, his son, Imam Warith Deen Mohammed, declared that all Nation of Islam followers should convert to Al-Islam. Mosque No. 11 made this conversion, and subsequent leaders, including Imam Shakir Mahmoud, renamed the Mosque Masjid Al-Quran. Presently, Mosque 11 Masjid Al-Quran keeps its doors open to the community of 70,000 Muslims who live and worship in Boston, and members come from all over the city.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
61,William Monroe Trotter House,-71.062762,42.313036,Unknown,97,Sawyer Avenue,Dorchester,MA,2125,10/25/77,Building,,,,,,,,
59,George Milliken House,-71.068228,42.315599,Unknown,44,Virginia Street,Dorchester,MA,2125,1/23/07,Building,,,,,,,,http://bit.ly/OxgrC2
24,George Milliken House,-71.068123,42.315844,Roman Catholic Archbishop of Boston,44,Virginia Street,Dorchester MA,,2125,1881,Building,Community,Original Location,,,,,,https://www.cityofboston.gov/images_documents/George%20Milliken%20House%20Study%20Report_tcm3-17377.pdf
237,The Museum of the National Center of Afro-American Artists,-71.092101,42.316444,,300,Walnut St,Roxbury,MA,2119,1968,Building,,Original Location,,,,,"""Elma Ina Lewis (1921 - 2004) was a leading arts educator, activist, and community leader in Boston. In 1950, she founded The Elma Lewis School of Fine Arts. Born in Boston to Caribbean immigrant parents, and raised in a household that followed the black nationalist philosophy of Marcus Garvey, Lewis attended Emerson College and Boston University. The school she founded in 1950 provided arts education for black and brown children across Roxbury and the South End. In 1968, she created the National Center of Afro-American Artists as an institution “committed to preserving and fostering the cultural arts heritage of black peoples worldwide.” The adjoining museum, which was established at a later date, “is dedicated to the celebration, exhibition, collection, and criticism of black visual arts heritage worldwide.” The center currently operates the Museum of the National Center of Afro-American Artists which displays and supports work by artists across the global African diaspora.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
11,Soldier Memorial,-71.11625,42.316567,Local town,1,"South St,","Jamaica Plain,",MA,2130,1909,Statue,Local,Original Location,,,,,,
32,Dorchester North Burying Ground,-71.064403,42.316971,,585,Columbia Rd,Dorchester,MA,2125,1634,Object,Community,Original Location,,,,,,African-American Trail
40,James Blake House,-71.059997,42.319605,,210,East Cottage Street,Dorchester,MA,,4/25/78,Building,,,,,,,,http://bit.ly/1hxPmFI
16,James Blake House Exterior & Interior (parcel 2942),-71.060053,42.319918,Dorchester Historical Society,210,East Cottage Street,Dorchester,MA,2125,1661,Building,Community,Relocated,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=8&Itemid=134
20,Edward Everett House,-71.060872,42.320171,Dorchester Historical Society,,Columbia Road and Boston Street,Dorchester,MA,,1909,Object,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
17,Clap’s Favorite Pear **,-71.061753,42.320279,Dorchester Historical Society,695,Columbia road,Boston,MA,2125,2007,Object,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
25,Malcolm X – Ella Little-Collins House Exterior only (Parcel 1734),-71.085994,42.321571,Rodnell Collins,72,Dale St,Roxbury,MA,2119,1874,Building,,Original Location,,,,,,https://www.boston.gov/departments/archaeology/malcolm-x-house
26,Blessed Sacrament Church Complex,-71.108198,42.322861,Jamaica Plain Neighborhood Development Corporation,,"Centre, Creighton, Sunnyside Streets",Jamaica Plain,MA,,1891,Building,,Relocated,,,"yes, over usage",,"“The building is about a half-acre in size and is distinguished by one of the greatest church facades in Boston, an entrance porch of two monumental Ionic columns 60 feet high supporting a pedimented attic. Under the pediment was set a gorgeous rosette stained glass window,” wrote Heath. The church was built at a cost of $115,000, which included 15 stained-glass windows designed and made by the Boston master glass artisan Charles Connick, according to Heath. Construction of the church finished in 1917. After the church was shut down and sold, 11 windows were moved to the Sacred Heart Church in Weymouth in 2007. The church campus was controversially closed in 2004 and was bought by the Jamaica Plain Neighborhood Development Corporation (JPNDC) and New Atlantic Development in 2005. The campus has been redeveloped over the years, including the rectory building being put on wheels to move and become condos. The convent became housing and the Norbert School has plans to become 21 apartment units. A mixed-use building was also built at the corner of Creighton and Centre Streets.",http://jamaicaplaingazette.com/2013/07/19/jp-history-blessed-sacraments-120-years-in-hyde-square/
14,Lemuel Clap House,-71.060722,42.323219,Dorchester Historical Society,199,Boston St,Dorchestor,MA,2125,"probably17th C, rebuilt 1760s",Building,Community,Relocated,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=10&Itemid=136
15,William Clap House,-71.060861,42.32353,Dorchester Historical Society,195,Boston St,Dorchestor,MA,2125,1806,Building,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=11&Itemid=137
48,"Emerald Necklace Parks - Jamaica Pond, Olmsted Park and The Riverway",-71.114824,42.325793,,,"Riverway, Jamaicaway","Fenway, JP",MA,,10/24/89,Building,,,,,,,,
21,Maloney Circle,-71.058331,42.326857,Dorchester Historical Society,82,Boston St,Dorchester,MA,2125,1950,Plaque/Historic Marker,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
22,General Casimir Pulaski,-71.058331,42.326857,Dorchester Historical Society,82,Boston St,Dorchester,MA,2125,,Statue,Community,Original Location,,,,,,http://www.dorchesterhistoricalsociety.org/2012/index.php?option=com_content&view=article&id=17&Itemid=143
23,Alvah Kittredge House,-71.092918,42.328038,Historic Boston Inc,10,10 Linwood St,Roxbury,MA,2119,1834,Building,,Original Location,,Multi,,,"Built for Roxbury alderman and Eliot Church deacon Alvah Kittredge (1798-1876), the Kittredge House is one of a handful of high style Greek Revival period wood frame houses remaining in Boston. Originally positioned in the center of a large rural estate, the Kittredge House was also once home to prominent 19th century Boston architect Nathaniel Bradlee. In the 1970s and 80s, it was home to the African American advancement organization Roxbury Action Program (RAP). The house was vacant from 1991-2011. HBI purchased the property in 2011 and completed a $3.8 million rehabilitation in 2014. The renewed mansion now holds five two-bedroom residential units including two permanently designated affordable units.",https://historicboston.org/portfolio_page/alvah-kittredge-house/
235,Roland Hayes House,-71.116492,42.329102,,55,Allerton St,Brookline,MA,2445,,Building,,Original Location,,,,,"""Roland Hayes (1887 - 1977) was the first African-American artist to perform as a vocal soloist with the Boston Symphony Orchestra. Born in Curryville, Georgia in 1887, Roland Hayes was the son of formerly enslaved parents, Fanny and William Hayes. Roland was a singer as a child, and studied music at Fisk University, where he performed with the Fisk Jubilee Singers. After touring the world, including in London where King George and Queen Mary of England requested that he perform for them privately, Hayes returned to the United States and married Helen A. Mann. He settled in Boston in 1911, and later taught at Boston University. After receiving many awards and honors, including the 1924 NAACP Springarn Medal, Hayes performed for the final time at the Longy School of Music in Cambridge in 1973. He died in 1977 in Boston and is buried at Mount Hope Cemetery.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
227,Faces of Dudley Mural,-71.084991,42.329197,,2385,Washington St,Roxbury,MA,2119,1995,,,Original Location,,,,,"""After the Civil War, as migrants of African descent from the American South, the Caribbean, and Canada arrived in Boston, the community shifted from its antebellum location on Beacon Hill to the South End and lower Roxbury. In 1901, when the elevated streetcar opened in Dudley Square, the area became a hub of commercial, cultural, and political activity in the racially mixed, yet increasingly black, section of Roxbury. The 1995 mural, “Faces of Dudley,” was painted by Mike Womble and a group of teen artists, and was rehabbed by Womble in 2015. In addition to images of renowned residents such as Malcolm X (1925-1965) and Melnea Cass (1896-1978), every other portrait in the mural is a portrait of a neighborhood resident.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
241,John D. O’Bryant School of Mathematics and Science,-71.088388,42.330825,,55,Malcom X Blvd,Roxbury,MA,2120,1944,Building,,Original Location,,,,,"""John D. O’Bryant (1931 - 1992) was born and raised in Boston. In 1977, amidst the struggle to desegregate Boston Public Schools, O’Bryant became the first African American elected to the Boston School Committee in the 20th Century. The John D. O’Bryant School of Mathematics and Science has carried its namesake’s commitment to public education into the twenty first century from its roots as Boston’s Mechanic Arts High School (est. 1893). From 1944, when the school changed its name to Boston Technical High School through its collaboration with Mario Umana Technical High School in 1989, John D. O’Bryant has educated generations of young people across Roxbury.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
13,Harrison Loring House Exterior & landscape elements (Parcel 3925),-71.033141,42.33563,John D. Dilorati,789,East Broadway,south boston,MA,2127,1865,Building,Local,Original Location,,,,,,https://www.cityofboston.gov/images_documents/%2353%20Harrison%20Loring%20Estate%20Study%20Report_tcm3-41249.pdf
238,St. Cyprian Church,-71.086765,42.336149,,1073,Tremont St,Roxbury,MA,2120,,Building,,Original Location,,,,,"""St. Cyprian’s Church was one of the most important social and religious institutions for West Indians in Boston. The congregation was established in 1910 after recent migrants from Barbados and Jamaica faced discrimination from local white Episcopalians; it met in several temporary locations before congregants purchased their own site for worship in 1921. Although congregants were primarily from the Caribbean, the church also served African Americans and foreign born people of African descent. Services began in the building in 1924; the congregation was named after Cyprian, the Bishop of Carthage in North Africa.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
225,Boston Latin School & Parker Bailey,-71.101192,42.337974,,78,Avenue Louis Pasteur,Boston,MA,2115,1635,Building,,Relocated,,,,,"""Boston Latin (est. 1635) is the oldest and first public school in the United States. Although the school was once located on School Street in downtown Boston, it moved to its present location in 1922. Founded in the seventeenth century to educate the city’s Protestant male elite - including Samuel Adams and Ralph Waldo Emerson - in 1877, Parker Bailey became the first African American to graduate from the prestigious school.""",https://africanamericantrailproject.tufts.edu/19th-century-sites
226,Boston Public Library - Parker Hill Branch,-71.077028,42.341834,City of Boston,1497,Tremont Street,Mission Hill,MA,2118,,Building,,,,,,,,
12,Veteran's Memorial,-71.090138,42.34193,,,,,,,,,,,,,,,,
